uri,concurrency,requests,qps,tpr,t_90
/path/no-optimize/10,500,30000,20106.01,24.868,5
uri,concurrency,requests,qps,tpr,t_90
/path/no-optimize/30,500,30000,7349.71,68.03,36
/path/no-optimize/30,500,30000,11491.97,43.509,28
/path/no-optimize/30,500,30000,11318.04,44.177,16
/path/no-optimize/30,500,30000,13235.32,37.778,10
/path/no-optimize/30,500,30000,13311.05,37.563,8
/path/no-optimize/30,500,30000,14833.89,33.707,8
/path/no-optimize/30,500,30000,15299.49,32.681,8
/path/no-optimize/30,500,30000,15546.7,32.161,7
/path/no-optimize/30,500,30000,15611.51,32.028,8
/path/no-optimize/30,500,30000,15488.82,32.281,6
/path/no-optimize/30,500,30000,15706.28,31.834,7
/path/no-optimize/30,500,30000,13922.5,35.913,7
/path/no-optimize/30,500,30000,15213.44,32.866,12
/path/no-optimize/30,500,30000,14542.37,34.382,7
/path/no-optimize/30,500,30000,13376.82,37.378,7
/path/no-optimize/30,500,30000,14993.6,33.348,8
/path/no-optimize/30,500,30000,15928.63,31.39,8
/path/no-optimize/30,500,30000,14800.24,33.783,6
/path/no-optimize/30,500,30000,14761.45,33.872,8
/path/no-optimize/30,500,30000,15611.58,32.028,7
uri,concurrency,requests,qps,tpr,t_90
/path/no-optimize/50,500,30000,6087.48,82.136,53
/path/no-optimize/50,500,30000,8831.52,56.615,30
/path/no-optimize/50,500,30000,10366.54,48.232,28
/path/no-optimize/50,500,30000,10995.67,45.472,12
/path/no-optimize/50,500,30000,11128.37,44.93,19
/path/no-optimize/50,500,30000,10924.21,45.77,11
/path/no-optimize/50,500,30000,10756.15,46.485,12
/path/no-optimize/50,500,30000,10963.63,45.605,12
/path/no-optimize/50,500,30000,11128.74,44.929,14
/path/no-optimize/50,500,30000,10849.86,46.084,12
/path/no-optimize/50,500,30000,10995.53,45.473,13
/path/no-optimize/50,500,30000,11127.6,44.933,12
/path/no-optimize/50,500,30000,11109.67,45.006,13
/path/no-optimize/50,500,30000,10915.6,45.806,10
/path/no-optimize/50,500,30000,11025.5,45.349,11
/path/no-optimize/50,500,30000,11128.53,44.93,14
/path/no-optimize/50,500,30000,10963.68,45.605,12
/path/no-optimize/50,500,30000,11024.9,45.352,11
/path/no-optimize/50,500,30000,10758.43,46.475,10
/path/no-optimize/50,500,30000,11195.34,44.661,13
uri,concurrency,requests,qps,tpr,t_90
/path/no-optimize/100,500,30000,4557.25,109.715,94
/path/no-optimize/100,500,30000,6463.59,77.356,42
/path/no-optimize/100,500,30000,7721.42,64.755,43
/path/no-optimize/100,500,30000,7852.39,63.675,33
/path/no-optimize/100,500,30000,7852.13,63.677,25
/path/no-optimize/100,500,30000,7936.43,63.001,38
/path/no-optimize/100,500,30000,7560.92,66.13,33
/path/no-optimize/100,500,30000,7907.92,63.228,32
/path/no-optimize/100,500,30000,7939.68,62.975,25
/path/no-optimize/100,500,30000,7846.87,63.72,31
/path/no-optimize/100,500,30000,8078.13,61.896,39
/path/no-optimize/100,500,30000,8314.49,60.136,34
/path/no-optimize/100,500,30000,8085.84,61.836,28
/path/no-optimize/100,500,30000,7883.02,63.427,37
/path/no-optimize/100,500,30000,8040.08,62.188,34
/path/no-optimize/100,500,30000,8038.43,62.201,45
/path/no-optimize/100,500,30000,7818.46,63.951,32
/path/no-optimize/100,500,30000,8036.34,62.217,34
/path/no-optimize/100,500,30000,8391.77,59.582,41
/path/no-optimize/100,500,30000,7948.94,62.901,34
uri,concurrency,requests,qps,tpr,t_90
/path/no-optimize/200,500,30000,2910.69,171.781,194
/path/no-optimize/200,500,30000,3990.12,125.31,104
/path/no-optimize/200,500,30000,4608.62,108.492,84
/path/no-optimize/200,500,30000,4600.91,108.674,90
/path/no-optimize/200,500,30000,4546.77,109.968,71
/path/no-optimize/200,500,30000,4448.22,112.404,79
/path/no-optimize/200,500,30000,4533.1,110.3,94
/path/no-optimize/200,500,30000,4488.97,111.384,88
/path/no-optimize/200,500,30000,4518.16,110.664,92
/path/no-optimize/200,500,30000,4524.43,110.511,94
/path/no-optimize/200,500,30000,4463.72,112.014,92
/path/no-optimize/200,500,30000,4538.36,110.172,90
/path/no-optimize/200,500,30000,4625.0,108.108,72
/path/no-optimize/200,500,30000,4597.93,108.744,87
/path/no-optimize/200,500,30000,4579.67,109.178,98
/path/no-optimize/200,500,30000,4599.32,108.712,86
/path/no-optimize/200,500,30000,4567.53,109.468,87
/path/no-optimize/200,500,30000,4581.18,109.142,83
/path/no-optimize/200,500,30000,4564.14,109.55,93
/path/no-optimize/200,500,30000,4474.55,111.743,104
uri,concurrency,requests,qps,tpr,t_90
/path/no-optimize/300,500,30000,2011.49,248.572,498
/path/no-optimize/300,500,30000,2841.34,175.974,178
/path/no-optimize/300,500,30000,2982.22,167.66,206
/path/no-optimize/300,500,30000,2949.2,169.537,155
/path/no-optimize/300,500,30000,2915.7,171.485,200
/path/no-optimize/300,500,30000,2922.67,171.076,185
/path/no-optimize/300,500,30000,2956.7,169.108,185
/path/no-optimize/300,500,30000,2959.35,168.956,215
/path/no-optimize/300,500,30000,2972.73,168.195,174
/path/no-optimize/300,500,30000,2987.49,167.365,169
/path/no-optimize/300,500,30000,2972.5,168.209,186
/path/no-optimize/300,500,30000,2985.32,167.486,177
/path/no-optimize/300,500,30000,2979.86,167.793,208
/path/no-optimize/300,500,30000,2979.4,167.819,188
/path/no-optimize/300,500,30000,2982.58,167.64,207
/path/no-optimize/300,500,30000,2986.86,167.4,200
/path/no-optimize/300,500,30000,2984.13,167.553,180
/path/no-optimize/300,500,30000,2973.71,168.14,178
/path/no-optimize/300,500,30000,2956.62,169.112,131
/path/no-optimize/300,500,30000,2965.23,168.621,164
uri,concurrency,requests,qps,tpr,t_90
/path/no-optimize/400,500,30000,1565.75,319.336,1038
/path/no-optimize/400,500,30000,2082.06,240.147,347
/path/no-optimize/400,500,30000,2228.91,224.325,272
/path/no-optimize/400,500,30000,2258.93,221.344,261
/path/no-optimize/400,500,30000,2237.03,223.511,261
/path/no-optimize/400,500,30000,2244.6,222.757,303
/path/no-optimize/400,500,30000,2244.05,222.812,321
/path/no-optimize/400,500,30000,2264.71,220.779,254
/path/no-optimize/400,500,30000,2255.28,221.702,308
/path/no-optimize/400,500,30000,2266.75,220.58,324
/path/no-optimize/400,500,30000,2253.77,221.851,201
/path/no-optimize/400,500,30000,2257.11,221.522,333
/path/no-optimize/400,500,30000,2273.51,219.924,288
/path/no-optimize/400,500,30000,2258.62,221.374,303
/path/no-optimize/400,500,30000,2243.69,222.847,269
/path/no-optimize/400,500,30000,2246.98,222.521,231
/path/no-optimize/400,500,30000,2274.64,219.815,269
/path/no-optimize/400,500,30000,2257.13,221.52,282
/path/no-optimize/400,500,30000,2261.09,221.132,242
/path/no-optimize/400,500,30000,2248.12,222.408,292
uri,concurrency,requests,qps,tpr,t_90
/path/no-optimize/500,500,30000,1246.7,401.059,1104
/path/no-optimize/500,500,30000,1637.79,305.289,1088
/path/no-optimize/500,500,30000,1659.02,301.382,1055
/path/no-optimize/500,500,30000,1662.95,300.67,1067
/path/no-optimize/500,500,30000,1664.06,300.47,1075
/path/no-optimize/500,500,30000,1667.46,299.858,1029
/path/no-optimize/500,500,30000,1663.74,300.527,1086
/path/no-optimize/500,500,30000,1663.32,300.604,1077
/path/no-optimize/500,500,30000,1664.87,300.324,1070
/path/no-optimize/500,500,30000,1655.04,302.107,1094
/path/no-optimize/500,500,30000,1663.7,300.536,1039
/path/no-optimize/500,500,30000,1665.26,300.253,1086
/path/no-optimize/500,500,30000,1667.82,299.792,1078
/path/no-optimize/500,500,30000,1671.1,299.204,1070
/path/no-optimize/500,500,30000,1669.45,299.5,1025
/path/no-optimize/500,500,30000,1659.35,301.323,1087
/path/no-optimize/500,500,30000,1709.63,292.461,1062
/path/no-optimize/500,500,30000,1685.36,296.672,1037
/path/no-optimize/500,500,30000,1719.28,290.82,1051
/path/no-optimize/500,500,30000,1716.3,291.325,1065
uri,concurrency,requests,qps,tpr,t_90
/param/1?param=optimize,500,30000,6947.8,71.965,30
/param/1?param=optimize,500,30000,12829.01,38.974,7
/param/1?param=optimize,500,30000,11318.74,44.175,6
/param/1?param=optimize,500,30000,24481.42,20.424,4
/param/1?param=optimize,500,30000,25410.98,19.677,4
/param/1?param=optimize,500,30000,25429.29,19.662,4
/param/1?param=optimize,500,30000,24458.45,20.443,4
/param/1?param=optimize,500,30000,26985.09,18.529,4
/param/1?param=optimize,500,30000,26052.27,19.192,5
/param/1?param=optimize,500,30000,24590.22,20.333,4
/param/1?param=optimize,500,30000,23913.55,20.909,4
/param/1?param=optimize,500,30000,25475.09,19.627,4
/param/1?param=optimize,500,30000,29759.9,16.801,4
/param/1?param=optimize,500,30000,27396.23,18.251,4
/param/1?param=optimize,500,30000,26905.25,18.584,4
/param/1?param=optimize,500,30000,27779.55,17.999,4
/param/1?param=optimize,500,30000,24537.01,20.377,4
/param/1?param=optimize,500,30000,28273.72,17.684,4
/param/1?param=optimize,500,30000,26799.4,18.657,3
/param/1?param=optimize,500,30000,23971.29,20.858,4
uri,concurrency,requests,qps,tpr,t_90
/param/10?param=optimize,500,30000,6981.23,71.621,23
/param/10?param=optimize,500,30000,9099.05,54.951,6
/param/10?param=optimize,500,30000,17254.71,28.978,6
/param/10?param=optimize,500,30000,26414.36,18.929,3
/param/10?param=optimize,500,30000,24597.46,20.327,4
/param/10?param=optimize,500,30000,24399.35,20.492,4
/param/10?param=optimize,500,30000,25717.52,19.442,3
/param/10?param=optimize,500,30000,26516.83,18.856,4
/param/10?param=optimize,500,30000,26729.25,18.706,4
/param/10?param=optimize,500,30000,29836.85,16.758,3
/param/10?param=optimize,500,30000,28937.95,17.278,4
/param/10?param=optimize,500,30000,25650.74,19.493,4
/param/10?param=optimize,500,30000,27379.18,18.262,3
/param/10?param=optimize,500,30000,25117.32,19.907,4
/param/10?param=optimize,500,30000,24338.76,20.543,4
/param/10?param=optimize,500,30000,27154.58,18.413,4
/param/10?param=optimize,500,30000,20913.75,23.908,4
/param/10?param=optimize,500,30000,30019.78,16.656,3
/param/10?param=optimize,500,30000,26434.68,18.915,3
/param/10?param=optimize,500,30000,24387.73,20.502,4
uri,concurrency,requests,qps,tpr,t_90
/param/30?param=optimize,500,30000,6970.2,71.734,21
/param/30?param=optimize,500,30000,13986.74,35.748,6
/param/30?param=optimize,500,30000,17490.86,28.586,5
/param/30?param=optimize,500,30000,23577.77,21.206,4
/param/30?param=optimize,500,30000,24422.33,20.473,4
/param/30?param=optimize,500,30000,25894.82,19.309,4
/param/30?param=optimize,500,30000,29939.13,16.701,4
/param/30?param=optimize,500,30000,27505.85,18.178,3
/param/30?param=optimize,500,30000,23772.45,21.033,4
/param/30?param=optimize,500,30000,25585.24,19.543,4
/param/30?param=optimize,500,30000,26436.54,18.913,4
/param/30?param=optimize,500,30000,25759.52,19.41,4
